,Region Name,District,HR_info_district_name,REGN_NO,DIST_NO
313,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
314,Middle Shebelle,Adale,Cadale,21.0,2004.0
315,Middle Shebelle,Balad,Balcad,21.0,2102.0
316,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
317,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
318,Bay,Baidoa,Baidoa,24.0,2401.0
319,Bay,Baidoa,Baidoa,24.0,2401.0
320,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
321,Awdal,Borama,Borama,11.0,1102.0
322,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
323,Togdheer,Burao,Burco,13.0,1302.0
324,Sool,Aynabo,Caynabo,14.0,1401.0
325,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
326,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
327,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
328,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
329,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
330,Sool,Lasanod,Laas Caanood,14.0,1403.0
331,Awdal,Lughaye,Lughaye,11.0,1103.0
332,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
333,Togdheer,Sheikh,Sheikh,13.0,1304.0
334,Sool,Taleh,Taleex,14.0,1404.0
335,sool,Xudun,Xudun,14.0,1402.0
336,Awdal,Zeylac,Zeylac,11.0,1104.0
337,Awdal,Baki,Baki,11.0,1101.0
338,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
339,Awdal,Borama,Borama,11.0,1102.0
340,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
341,Togdheer,Burao,Burco,13.0,1302.0
342,Sool,Aynabo,Caynabo,14.0,1401.0
343,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
344,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
345,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
346,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
347,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
348,Sool,Lasanod,Laas Caanood,14.0,1403.0
349,Awdal,Lughaye,Lughaye,11.0,1103.0
350,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
351,Togdheer,Sheikh,Sheikh,13.0,1304.0
352,Sool,Taleh,Taleex,14.0,1404.0
353,sool,Xudun,Xudun,14.0,1402.0
354,Awdal,Zeylac,Zeylac,11.0,1104.0
355,Awdal,Baki,Baki,11.0,1101.0
356,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
357,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
358,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
359,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
360,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
361,Togdheer,Burao,Burco,13.0,1302.0
362,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
363,Middle Shebelle,Adale,Cadale,21.0,2004.0
364,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
365,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
366,Lower Juba,Afmadow,Afmadow,28.0,2801.0
367,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
368,Bay,Baidoa,Baidoa,24.0,2401.0
369,Middle Shebelle,Balad,Balcad,21.0,2102.0
370,Gedo,Bardera,Baardheere,26.0,2601.0
371,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
372,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
373,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
374,Middle Juba,Buale,Bu'aale,27.0,2701.0
375,Hiran,Buloburde,Bulo Burti,20.0,2002.0
376,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
377,Bay,Diinsor,Diinsoor,24.0,2403.0
378,Gedo,Dolow,Doolow,26.0,2603.0
379,Bakool,El Barde,Ceel Barde,25.0,2501.0
380,Gedo,Ceel Waaq,El Waq,26.0,2604.0
381,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
382,Bakool,Hudur,Xudur,25.0,2502.0
383,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
384,Lower Juba,Jamaame,Jamaame,28.0,2803.0
385,Middle Juba,Jilib,Jilib,27.0,2702.0
386,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
387,Lower Juba,Kismayo,Kismayo,28.0,2804.0
388,Gedo,Luuq,Luuq,26.0,2606.0
389,Lower Shebelle,Marka,Marka,23.0,2304.0
390,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
391,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
392,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
393,Middle Juba,Sakow,Saakow,27.0,2703.0
394,Bakool,Waajid,Waajid,25.0,2505.0
395,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
396,Awdal,Baki,Baki,11.0,1101.0
397,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
398,Awdal,Borama,Borama,11.0,1102.0
399,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
400,Togdheer,Burao,Burco,13.0,1302.0
401,Sool,Aynabo,Caynabo,14.0,1401.0
402,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
403,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
404,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
405,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
406,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
407,Sool,Lasanod,Laas Caanood,14.0,1403.0
408,Awdal,Lughaye,Lughaye,11.0,1103.0
409,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
410,Togdheer,Sheikh,Sheikh,13.0,1304.0
411,Sool,Taleh,Taleex,14.0,1404.0
412,sool,Xudun,Xudun,14.0,1402.0
413,Awdal,Zeylac,Zeylac,11.0,1104.0
414,Awdal,Baki,Baki,11.0,1101.0
415,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
416,Awdal,Borama,Borama,11.0,1102.0
417,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
418,Togdheer,Burao,Burco,13.0,1302.0
419,Sool,Aynabo,Caynabo,14.0,1401.0
420,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
421,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
422,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
423,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
424,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
425,Sool,Lasanod,Laas Caanood,14.0,1403.0
426,Awdal,Lughaye,Lughaye,11.0,1103.0
427,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
428,Togdheer,Sheikh,Sheikh,13.0,1304.0
429,Sool,Taleh,Taleex,14.0,1404.0
430,sool,Xudun,Xudun,14.0,1402.0
431,Awdal,Zeylac,Zeylac,11.0,1104.0
432,Lower Juba,Afmadow,Afmadow,28.0,2801.0
433,Lower Juba,Jamaame,Jamaame,28.0,2803.0
434,Gedo,Dolow,Doolow,26.0,2603.0
435,Gedo,Luuq,Luuq,26.0,2606.0
436,Gedo,Dolow,Doolow,26.0,2603.0
437,Awdal,Baki,Baki,11.0,1101.0
438,Awdal,Borama,Borama,11.0,1102.0
439,Awdal,Lughaye,Lughaye,11.0,1103.0
440,Awdal,Zeylac,Zeylac,11.0,1104.0
441,Awdal,Baki,Baki,11.0,1101.0
442,Awdal,Borama,Borama,11.0,1102.0
443,Awdal,Lughaye,Lughaye,11.0,1103.0
444,Nugaal,Eyl,Eyl,17.0,1702.0
445,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
446,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
447,Bari,Qardho,Qardho,16.0,1604.0
448,Nugaal,Garowe,Garowe,17.0,1703.0
449,Gedo,Dolow,Doolow,26.0,2603.0
450,Awdal,Baki,Baki,11.0,1101.0
451,Awdal,Lughaye,Lughaye,11.0,1103.0
452,Nugaal,Burtinle,Burtinle,17.0,1701.0
453,Awdal,Baki,Baki,11.0,1101.0
454,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
455,Awdal,Lughaye,Lughaye,11.0,1103.0
456,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
457,Nugaal,Garowe,Garowe,17.0,1703.0
458,Nugaal,Burtinle,Burtinle,17.0,1701.0
459,Nugaal,Garowe,Garowe,17.0,1703.0
460,Mudug,Galdogob,Galdogob,18.0,1802.0
461,Nugaal,Eyl,Eyl,17.0,1702.0
462,Nugaal,Garowe,Garowe,17.0,1703.0
463,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
464,Awdal,Baki,Baki,11.0,1101.0
465,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
466,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
467,Awdal,Lughaye,Lughaye,11.0,1103.0
468,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
469,Galgaduud,Adado,Cadaado,19.0,1902.0
470,Middle Shebelle,Adale,Cadale,21.0,2004.0
471,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
472,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
473,Lower Juba,Afmadow,Afmadow,28.0,2801.0
474,Bari,Alula,Caluula,16.0,1601.0
475,Lowe Juba,Badhadhe,Badhaadhe,28.0,2802.0
476,Bay,Baidoa,Baidoa,24.0,2401.0
477,Awdal,Baki,Baki,11.0,1101.0
478,Middle Shebelle,Balad,Balcad,21.0,2102.0
479,Gedo,Bardera,Baardheere,26.0,2601.0
480,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
481,Hiran,BeledWeyne,Belet Weyne,20.0,2001.0
482,Bari,Bender Beila,Bandarbayla,16.0,1602.0
483,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
484,Awdal,Borama,Borama,11.0,1102.0
485,Bari,Bossaso,Bossaso,16.0,1603.0
486,Lower Shebelle,Barawa,Baraawe,23.0,2302.0
487,Middle Juba,Buale,Bu'aale,27.0,2701.0
488,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
489,Hiran,Buloburde,Bulo Burti,20.0,2002.0
490,Bay,Buur Hakaba,Buur Hakaba,24.0,2402.0
491,Togdheer,Burao,Burco,13.0,1302.0
492,Nugaal,Burtinle,Burtinle,17.0,1701.0
493,Sool,Aynabo,Caynabo,14.0,1401.0
494,Bay,Diinsor,Diinsoor,24.0,2403.0
495,Gedo,Dolow,Doolow,26.0,2603.0
496,Galguduud,Dusa Mareb,Dhuusamarreeb,19.0,1903.0
497,Sannag,El Afweyn,Ceel Afweyn,15.0,1501.0
498,Bakool,El Barde,Ceel Barde,25.0,2501.0
499,Galgaduud,El Buur,Ceel Buur,19.0,1904.0
500,Galgaduud,El Der,Ceel Buur,19.0,1904.0
501,Gedo,Ceel Waaq,El Waq,26.0,2604.0
502,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
503,Nugaal,Eyl,Eyl,17.0,1702.0
504,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
505,Mudug,Gaalkacyo,Galkaacyo,18.0,1801.0
506,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
507,Bari,Qardho,Qardho,16.0,1604.0
508,Nugaal,Garowe,Garowe,17.0,1703.0
509,Mudug,Galdogob,Galdogob,18.0,1802.0
510,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
511,Mudug,Hobyo,Hobyo,18.0,1804.0
512,Bakool,Hudur,Xudur,25.0,2502.0
513,Bari,Iskushuban,Iskushuban,16.0,1605.0
514,Hiraan,Jalalaqsi,Jalalaqsi,20.0,2003.0
515,Lower Juba,Jamaame,Jamaame,28.0,2803.0
516,Mudug,Jariiban,Jariiban,18.0,1805.0
517,Middle Juba,Jilib,Jilib,27.0,2702.0
518,Middle shabelle,Jowhar,Jowhar,21.0,2103.0
519,,Kandala,Qandala,16.0,1605.0
520,Lower Juba,Kismayo,Kismayo,28.0,2804.0
521,Sanaag,Las Khorey,Laasqoray,15.0,1503.0
522,Sool,Lasanod,Laas Caanood,14.0,1403.0
523,Awdal,Lughaye,Lughaye,11.0,1103.0
524,Gedo,Luuq,Luuq,26.0,2606.0
525,Lower Shebelle,Marka,Marka,23.0,2304.0
526,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
527,Bay,Qansah Dere,Qansax Dheere,24.0,2404.0
528,Bakool,Rab Dhuure,Rab Dhuure,25.0,2503.0
529,Lower Shebelle,Sablale,Sablaale,23.0,2306.0
530,Middle Juba,Sakow,Saakow,27.0,2703.0
531,Togdheer,Sheikh,Sheikh,13.0,1304.0
532,Sool,Taleh,Taleex,14.0,1404.0
533,Bakool,Waajid,Waajid,25.0,2505.0
534,Lower Shebelle,Wanla Weyne,Wanle Weyne,23.0,2307.0
535,sool,Xudun,Xudun,14.0,1402.0
536,Awdal,Zeylac,Zeylac,11.0,1104.0
537,Nugaal,Garowe,Garowe,17.0,1703.0
538,Gedo,Dolow,Doolow,26.0,2603.0
539,Gedo,Dolow,Doolow,26.0,2603.0
540,Bari,Dangorayo,,,
541,Togdheer,Owdweyne,Owdweyne,13.0,1303.0
542,Bari,Dangorayo,,,
543,Woqooyi Galbeed,Gabiley,Gabiley,12.0,1202.0
544,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
545,Nugaal,Eyl,Eyl,17.0,1702.0
546,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
547,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
548,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
549,Gedo,Dolow,Doolow,26.0,2603.0
550,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
551,Gedo,Luuq,Luuq,26.0,2606.0
552,Gedo,Luuq,Luuq,26.0,2606.0
553,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
554,Gedo,Dolow,Doolow,26.0,2603.0
555,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
556,Gedo,Luuq,Luuq,26.0,2606.0
557,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
558,Gedo,Dolow,Doolow,26.0,2603.0
559,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
560,Gedo,Luuq,Luuq,26.0,2606.0
561,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
562,Gedo,Dolow,Doolow,26.0,2603.0
563,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
564,Gedo,Luuq,Luuq,26.0,2606.0
565,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
566,Gedo,Dolow,Doolow,26.0,2603.0
567,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
568,Gedo,Luuq,Luuq,26.0,2606.0
569,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
570,Gedo,Dolow,Doolow,26.0,2603.0
571,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
572,Gedo,Luuq,Luuq,26.0,2606.0
573,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
574,Gedo,Dolow,Doolow,26.0,2603.0
575,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
576,Gedo,Luuq,Luuq,26.0,2606.0
577,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
578,Gedo,Dolow,Doolow,26.0,2603.0
579,Gedo,Garbaharey,Garbahaarey,26.0,2605.0
580,Gedo,Luuq,Luuq,26.0,2606.0
581,Benadir,Mogadishu,Mogadishu,22.0,2201.0
582,Togdheer,Burao,Burco,13.0,1302.0
583,Nugaal,Garowe,Garowe,17.0,1703.0
584,Gedo,Dolow,Doolow,26.0,2603.0
585,Togdheer,Burao,Burco,13.0,1302.0
586,Sannag,Erigavo,Ceerigaabo,15.0,1502.0
587,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
588,Togdheer,Buhoodle,Buuhoodle,13.0,1301.0
589,Togdheer,Burao,Burco,13.0,1302.0
590,Sool,Lasanod,Laas Caanood,14.0,1403.0
591,Sool,Taleh,Taleex,14.0,1404.0
592,sool,Xudun,Xudun,14.0,1402.0
593,Togdheer,Burao,Burco,13.0,1302.0
594,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
595,Sool,Lasanod,Laas Caanood,14.0,1403.0
596,Togdheer,Burao,Burco,13.0,1302.0
597,Sool,Lasanod,Laas Caanood,14.0,1403.0
598,Gedo,Beled Hawo,Belet Xaawo,26.0,2602.0
599,Woqooyi Galbeed,Berbera,Berbera,12.0,1201.0
600,Awdal,Borama,Borama,11.0,1102.0
601,Awdal,Borama,Borama,11.0,1102.0
602,Togdheer,Burao,Burco,13.0,1302.0
603,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
604,Sool,Lasanod,Laas Caanood,14.0,1403.0
605,Bay,Baidoa,Baidoa,24.0,2401.0
606,Lower Juba,Afmadow,Afmadow,28.0,2801.0
607,Benadir,Mogadishu,Mogadishu,22.0,2201.0
608,Lower Juba,Kismayo,Kismayo,28.0,2804.0
609,Lower Juba,Afmadow,Afmadow,28.0,2801.0
610,Lower Juba,Afmadow,Afmadow,28.0,2801.0
611,Lower Juba,Kismayo,Kismayo,28.0,2804.0
612,Lower Juba,Kismayo,Kismayo,28.0,2804.0
613,Awdal,Borama,Borama,11.0,1102.0
614,Bari,Bossaso,Bossaso,16.0,1603.0
615,Togdheer,Burao,Burco,13.0,1302.0
616,Woqooyi Galbeed,Hargeysa,Hargeysa,12.0,1203.0
617,Benadir,Mogadishu,Mogadishu,22.0,2201.0
618,Benadir,Mogadishu,Mogadishu,22.0,2201.0
619,Lower Juba,Kismayo,Kismayo,28.0,2804.0
620,Galgaduud,Abudwak,Cabudwaaq,19.0,1901.0
621,Galgaduud,Adado,Cadaado,19.0,1902.0
622,Middle Shebelle,Adale,Cadale,21.0,2004.0
623,Middle Shebelle,Aden Yabal,Adan Yabaal,21.0,2101.0
624,Lower Shebelle,Afgoye,Afgooye,23.0,2301.0
625,Lower Juba,Afmadow,Afmadow,28.0,2801.0
